,Returns,Risk,Sharpe Ratio,Ccola,Pepsi,Monster,Carlsberg
122,0.1305403737057657,0.167039732274953,0.6617609607025264,0.19,0.42,0.3,0.09
123,0.13028778056022688,0.18103379154318147,0.609211018672833,0.17,0.23,0.21,0.38
124,0.12939534155245924,0.17151426443689197,0.6378206612238415,0.41,0.16,0.26,0.18
125,0.13528047816146233,0.169013623332071,0.6820780235860868,0.27,0.26,0.24,0.23
126,0.13737364754944106,0.17308576810271512,0.6781241972464626,0.14,0.11,0.2,0.54
127,0.12745542109470975,0.17097306032825182,0.6284932894597879,0.11,0.29,0.26,0.34
128,0.12771419929084488,0.1726904379796136,0.6237415374646321,0.33,0.13,0.2,0.34
129,0.13883290380411065,0.17550119713096712,0.6771059442713204,0.32,0.24,0.25,0.18
130,0.13192957713637402,0.1698804676998212,0.6588725511054843,0.29,0.01,0.25,0.45
131,0.10166915737311652,0.16854434355177686,0.48455590767439627,0.13,0.28,0.2,0.4
132,0.10939625956420251,0.16250212370034411,0.55012363856272,0.4,0.38,0.07,0.15
133,0.11854284318019725,0.16459852279270187,0.5986860726830687,0.27,0.27,0.05,0.41
134,0.12592228874671574,0.16743857544106056,0.6326038576695909,0.18,0.43,0.17,0.21
135,0.11682414683007916,0.17492679312125461,0.553512387110208,0.13,0.38,0.19,0.3
136,0.14076580589462828,0.1789420490874282,0.6748878003270437,0.46,0.04,0.12,0.38
137,0.15962920947044087,0.20065700402832004,0.6958601328002191,0.25,0.2,0.32,0.23
138,0.15822142400107073,0.1978063419852497,0.6987714479416328,0.07,0.35,0.48,0.1
139,0.13814558868421367,0.17753222758931253,0.6654881217258272,0.18,0.23,0.47,0.12
140,0.12875934536719633,0.1814217818592993,0.5994833930775967,0.31,0.11,0.3,0.27
141,0.1486944468646363,0.18807134211021076,0.6842852580337343,0.38,0.28,0.3,0.03
142,0.1444622663309683,0.18306217775620032,0.6798906680588352,0.19,0.28,0.4,0.13
143,0.1210431043792622,0.1693933537782032,0.5964998161118172,0.15,0.33,0.36,0.16
144,0.14379558257376812,0.18552918808253854,0.6672566395250634,0.29,0.35,0.2,0.16
145,0.13763902037380923,0.18058314969663689,0.6514396308372735,0.27,0.24,0.36,0.14
146,0.1405919114403402,0.1761358154163025,0.6846529830138036,0.24,0.33,0.32,0.12
147,0.12609371554336474,0.1666659185734512,0.6365651505206102,0.19,0.22,0.3,0.29
148,0.16893112506861863,0.2018103834634411,0.7379755318466962,0.25,0.15,0.16,0.44
149,0.145662334811866,0.19593784962169136,0.6413377254802459,0.11,0.08,0.49,0.32
150,0.13323116603523014,0.191092031239511,0.5925478174090285,0.43,0.05,0.39,0.13
151,0.14671284534778908,0.1828812556701127,0.6928695064099841,0.44,0.24,0.33,0.0
152,0.1282719205238559,0.17310940520066387,0.6254537146514363,0.28,0.06,0.34,0.32
153,0.10920998228311092,0.17595401100275904,0.5070073809326919,0.35,0.14,0.22,0.29
154,0.10930229396982662,0.16233334451467912,0.55011676274403,0.44,0.38,0.16,0.02
155,0.10973880945616979,0.16328674437664925,0.5495780432070568,0.26,0.34,0.07,0.33
156,0.1441945581329697,0.18131634356849793,0.6849606366899369,0.11,0.45,0.05,0.39
157,0.13122575762437427,0.17290345572384128,0.6432824442908899,0.28,0.1,0.33,0.29
158,0.16854425504259243,0.21356200259851818,0.6955556383400533,0.25,0.29,0.26,0.2
159,0.1360086410238214,0.1811449346382715,0.6404189068575347,0.16,0.26,0.56,0.03
160,0.18307975270639493,0.23065218491181394,0.7070375369248975,0.34,0.2,0.3,0.17
161,0.11052064619345012,0.16324457734166958,0.5545093605406024,0.23,0.03,0.66,0.08
162,0.15383861404547794,0.19173477663978858,0.6980403680075215,0.14,0.31,0.02,0.53
163,0.16104264353405673,0.19495867665129804,0.7234489172611938,0.25,0.12,0.43,0.19
164,0.11660402060710057,0.17086500994924506,0.5653821144293761,0.15,0.14,0.44,0.28
165,0.10110689083580741,0.1685407854429127,0.4812300513651014,0.39,0.24,0.16,0.21
166,0.13938002156094115,0.1765219125345612,0.6762900981914511,0.4,0.29,0.02,0.3
167,0.129994743844568,0.17213202178674297,0.6390138377671656,0.25,0.16,0.28,0.32
168,0.10054558449384773,0.16658686445715537,0.4835050155744022,0.27,0.25,0.23,0.26
169,0.14386327361649634,0.17694444004834373,0.7000122387719848,0.28,0.58,0.08,0.06
170,0.1455738659610703,0.1956959727143596,0.6416783351201589,0.06,0.23,0.28,0.43
171,0.11643452501173993,0.16275786190982808,0.592503021851977,0.41,0.11,0.39,0.1
172,0.15513977236428944,0.18822221267352035,0.7179799368244347,0.17,0.31,0.09,0.43
173,0.13307186433841325,0.18085536767173713,0.6252060184558369,0.03,0.24,0.38,0.35
174,0.16846226269738326,0.211500849180097,0.7019464142716743,0.38,0.17,0.29,0.16
175,0.09240150029446255,0.17946118344076353,0.40343821937606245,0.01,0.35,0.54,0.1
176,0.1138002710668616,0.16296360241340618,0.5755903138966516,0.51,0.45,0.04,0.01
177,0.11784780722469035,0.16772867913811587,0.583369568802946,0.27,0.34,0.13,0.25
178,0.13187937024775487,0.17275546665401098,0.6476169606361761,0.05,0.42,0.08,0.46
179,0.09867692062111827,0.16415829122212156,0.479274729502764,0.12,0.42,0.27,0.18
180,0.18577536763378563,0.2354295077607308,0.7041401445831705,0.22,0.59,0.04,0.15
181,0.12128332010329226,0.1691204258058339,0.5988828352382166,0.18,0.1,0.69,0.03
182,0.11453092115351649,0.1731629511328228,0.5459073117840753,0.35,0.05,0.12,0.48
183,0.1087214595551177,0.16216731260904474,0.5470982908189929,0.41,0.3,0.17,0.12
184,0.12304685888245785,0.1706390761778334,0.603887815092637,0.26,0.3,0.05,0.39
185,0.10226402852228919,0.16504286929662954,0.4984403680866518,0.29,0.33,0.2,0.19
186,0.12590125321167686,0.16458286650098897,0.6434524775459571,0.36,0.3,0.03,0.31
187,0.1298344765471069,0.17127064554891272,0.6412918932785803,0.19,0.22,0.17,0.41
188,0.13689529915333476,0.17658894549909054,0.6619627226548945,0.26,0.26,0.24,0.24
189,0.13787414352660105,0.17865445949968176,0.6597884198172563,0.09,0.41,0.29,0.21
