Date,Volume,Volume,Volume,Volume
2018-11-26,625784.0,3590.0,10255,9075925.0
2018-11-27,400331.0,9588.0,12478,8295682.0
2018-11-28,344985.0,12665.0,23183,8027418.0
2018-11-29,503961.0,8095.0,23404,7033215.0
2018-11-30,552488.0,5989.0,9466,6962017.0
2018-12-03,308843.0,3487.0,13239,5216375.0
2018-12-04,255040.0,2384.0,4560,2684354.0
2018-12-05,397116.0,1616.0,9300,23189224.0
2018-12-06,342700.0,1713.0,35442,35406932.0
2018-12-07,312537.0,14064.0,4325,19395410.0
2018-12-10,336209.0,7537.0,14297,11329680.0
2018-12-11,252116.0,8393.0,9709,8396438.0
2018-12-12,334243.0,3163.0,12474,9327646.0
2018-12-13,257095.0,2068.0,31295,6783870.0
2018-12-14,332935.0,6245.0,343856,3984147.0
2018-12-17,251317.0,10857.0,10970,3279687.0
2018-12-18,288649.0,1412.0,11118,2377242.0
2018-12-19,314937.0,1402.0,5149,3519596.0
2018-12-20,255525.0,5108.0,23814,6309278.0
2018-12-21,333583.0,1344.0,15866,22181318.0
2018-12-24,,1941.0,14304,
2018-12-27,419363.0,2249.0,15635,20106132.0
2018-12-28,125568.0,778.0,8852,12390636.0
2018-12-31,,1407.0,7815,
2019-01-02,531429.0,631.0,10758,19356192.0
2019-01-03,472686.0,2068.0,7386,29022842.0
2019-01-04,439487.0,1595.0,2750,14332885.0
2019-01-07,369589.0,3172.0,4775,14309824.0
2019-01-08,430434.0,9028.0,3190,18786696.0
2019-01-09,309507.0,3585.0,65356,12697318.0
2019-01-10,203892.0,18234.0,20889,38764532.0
2019-01-11,283930.0,17839.0,2479,19002177.0
2019-01-14,192970.0,2727.0,8800,21593076.0
2019-01-15,186135.0,4180.0,10909,34182190.0
2019-01-16,158439.0,1490.0,17848,42917182.0
2019-01-17,217353.0,2485.0,7394,24613060.0
2019-01-18,576214.0,1544.0,11288,20122223.0
2019-01-21,292066.0,4065.0,6257,32154035.0
2019-01-22,213904.0,1508.0,7872,43524291.0
2019-01-23,158046.0,13989.0,525,38061221.0
2019-01-24,293776.0,14726.0,4147,36136097.0
2019-01-25,267966.0,14539.0,6136,28342488.0
2019-01-28,196027.0,18245.0,1922,20285942.0
2019-01-29,129594.0,5652.0,3575,44109801.0
2019-01-30,140160.0,4059.0,5074,35641374.0
2019-01-31,307654.0,4577.0,8718,53111008.0
2019-02-01,321355.0,5616.0,1655,37154686.0
2019-02-04,319590.0,205179.0,10131,28516432.0
2019-02-05,302281.0,2366.0,10958,17496529.0
2019-02-06,905554.0,1503.0,37534,27780851.0
2019-02-07,223116.0,3853.0,23380,24004644.0
2019-02-08,234246.0,2026.0,8615,18163831.0
2019-02-11,724545.0,6025.0,6422,17758162.0
2019-02-12,318377.0,3426.0,4669,18255556.0
2019-02-13,215676.0,3044.0,37004,17326438.0
2019-02-14,508486.0,5320.0,77911,20666480.0
2019-02-15,350861.0,1157.0,17756,16091436.0
2019-02-18,391627.0,2183.0,27562,16329437.0
2019-02-19,699283.0,1387.0,24379,10345042.0
2019-02-20,369224.0,433.0,22298,31232674.0
2019-02-21,336021.0,502.0,24407,58252201.0
2019-02-22,314830.0,1010.0,6993,20218799.0
2019-02-25,218089.0,2073.0,24063,36590767.0
2019-02-26,228857.0,1258.0,9589,7365788.0
2019-02-27,294345.0,871.0,12062,14748033.0
2019-02-28,136423.0,4847.0,6176,16277143.0
2019-03-01,211486.0,772.0,62718,10341796.0
2019-03-04,1247179.0,4605.0,10337,9055995.0
2019-03-05,653848.0,931.0,8586,6592026.0
2019-03-06,450446.0,43950.0,11533,8197015.0
2019-03-07,295885.0,7683.0,8283,9028007.0
2019-03-08,284668.0,9553.0,4871,5509074.0
2019-03-11,379228.0,1884.0,11226,12024672.0
2019-03-12,161048.0,5726.0,8317,15403581.0
2019-03-13,315054.0,3474.0,30254,98144369.0
2019-03-14,245975.0,7493.0,40794,56452109.0
2019-03-15,238410.0,8703.0,12135,45865337.0
2019-03-18,348771.0,11710.0,8167,23095847.0
2019-03-19,567706.0,3480.0,4069,9333786.0
2019-03-20,435624.0,2390.0,20986,8362748.0
2019-03-21,196409.0,1279.0,2441,9008999.0
2019-03-22,137894.0,3811.0,13729,8100942.0
2019-03-25,109529.0,7388.0,10981,6520761.0
2019-03-26,101985.0,2586.0,10983,17870367.0
2019-03-27,160175.0,4715.0,5701,5275989.0
2019-03-28,232043.0,4094.0,11142,7592807.0
2019-03-29,213707.0,17052.0,11142,20350926.0
2019-04-01,376598.0,3174.0,20945,15496887.0
2019-04-02,187130.0,590.0,10504,8190853.0
2019-04-03,176469.0,2007.0,21965,12649979.0
2019-04-04,146282.0,819.0,11126,25960799.0
2019-04-05,383025.0,765.0,5762,17528732.0
2019-04-08,314188.0,2076.0,11761,22562561.0
2019-04-09,122961.0,2311.0,10738,15696850.0
2019-04-10,150867.0,8461.0,24586,14834292.0
2019-04-11,243644.0,1408.0,4731,23865596.0
2019-04-12,151323.0,1099.0,7563,32345224.0
2019-04-15,177565.0,5273.0,14564,29811325.0
2019-04-16,532990.0,8720.0,9809,35682724.0
2019-04-17,300972.0,86627.0,11166,88393470.0
2019-04-18,168875.0,28459.0,4159,35496168.0
2019-04-23,238874.0,15346.0,12384,31651410.0
2019-04-24,129411.0,23376.0,13815,33925654.0
2019-04-25,133110.0,9317.0,15563,35276311.0
2019-04-26,144690.0,9129.0,11642,17185336.0
2019-04-29,269727.0,43858.0,40182,9153433.0
2019-04-30,169797.0,32317.0,5266,14056814.0
2019-05-02,197138.0,50015.0,8835,5499981.0
2019-05-03,196799.0,111688.0,2739,7303526.0
2019-05-06,291890.0,139792.0,14483,6637454.0
2019-05-07,210233.0,69170.0,6227,12419473.0
2019-05-08,210690.0,162249.0,5523,9144997.0
2019-05-09,168087.0,208664.0,6186,14866829.0
2019-05-10,301918.0,39663.0,5694,6466982.0
2019-05-13,210016.0,44600.0,39706,5789901.0
2019-05-14,178935.0,90474.0,4494,11845125.0
2019-05-15,300263.0,22342.0,6067,10768601.0
2019-05-16,338413.0,32566.0,12985,13407549.0
2019-05-17,147975.0,25434.0,13491,20579441.0
2019-05-20,290274.0,9811.0,16651,9538176.0
2019-05-21,267522.0,17654.0,3751,8909527.0
2019-05-22,534242.0,34263.0,11860,34621383.0
2019-05-23,253068.0,12641.0,8537,60084361.0
2019-05-24,99065.0,8393.0,38937,24916356.0
2019-05-27,108591.0,8601.0,10926,9854151.0
2019-05-28,276788.0,12510.0,9097,12411360.0
2019-05-29,246808.0,16159.0,8153,4546233.0
2019-05-30,104784.0,6327.0,84865,6458859.0
2019-05-31,161830.0,11296.0,22565,22707091.0
2019-06-03,144592.0,9566.0,52981,18924284.0
2019-06-04,191151.0,15699.0,24952,20457567.0
2019-06-05,171671.0,9027.0,22707,28036390.0
2019-06-06,138596.0,2726.0,21656,18716705.0
2019-06-07,494585.0,9807.0,23670,39696412.0
2019-06-10,,4510.0,7123,17372010.0
2019-06-11,307434.0,7810.0,12542,15919690.0
2019-06-12,371702.0,15551.0,7827,25597548.0
2019-06-13,235877.0,10024.0,112809,8544313.0
2019-06-14,219086.0,7871.0,36278,26513664.0
2019-06-17,332713.0,4196.0,14313,24764950.0
2019-06-18,325351.0,6366.0,36803,16417075.0
2019-06-19,440269.0,1298.0,21039,10182321.0
2019-06-20,254739.0,4592.0,110848,8023834.0
2019-06-21,564269.0,3537.0,44351,10669704.0
2019-06-24,165672.0,13271.0,30448,9544596.0
2019-06-25,259914.0,4854.0,40826,8756603.0
2019-06-26,207773.0,4994.0,29432,8484956.0
2019-06-27,235874.0,10449.0,12240,10481204.0
2019-06-28,335646.0,12281.0,19009,12324892.0
2019-07-01,307997.0,10482.0,37342,9838380.0
2019-07-02,199239.0,13168.0,9683,8798454.0
2019-07-03,266200.0,4969.0,49638,9288301.0
2019-07-04,133759.0,6141.0,26286,9413843.0
2019-07-05,133646.0,3207.0,33432,4757291.0
2019-07-08,193326.0,3010.0,33461,20828766.0
2019-07-09,176852.0,11952.0,11959,11651361.0
2019-07-10,129248.0,3590.0,29286,11014428.0
2019-07-11,249100.0,10544.0,13449,7575173.0
2019-07-12,293218.0,17282.0,22229,16971079.0
2019-07-15,195410.0,14852.0,15026,24558645.0
2019-07-16,256231.0,3701.0,20474,11292778.0
2019-07-17,303644.0,10353.0,20275,15172313.0
2019-07-18,151322.0,7485.0,4969,9176437.0
2019-07-19,190542.0,12081.0,3004,8466321.0
2019-07-22,134550.0,6826.0,19031,5265307.0
2019-07-23,189435.0,3637.0,17915,11392536.0
2019-07-24,104224.0,5380.0,14411,19227833.0
2019-07-25,131649.0,2518.0,11705,16058776.0
2019-07-26,156513.0,3073.0,5093,7377423.0
2019-07-29,168252.0,5954.0,18051,11150249.0
2019-07-30,154908.0,2867.0,29228,6040741.0
2019-07-31,103041.0,771.0,9236,9728791.0
2019-08-01,214899.0,1975.0,4938,9698967.0
2019-08-02,172552.0,8192.0,27113,7998494.0
2019-08-05,269047.0,4032.0,13075,8831393.0
2019-08-06,364847.0,7583.0,30563,7643269.0
2019-08-07,244254.0,2440.0,26657,6420276.0
2019-08-08,244014.0,3103.0,14709,19978565.0
2019-08-09,176699.0,373.0,8643,14944046.0
2019-08-12,154511.0,10152.0,11184,7656631.0
2019-08-13,251857.0,6796.0,9683,19474333.0
2019-08-14,253739.0,6211.0,4173,10247376.0
2019-08-15,486002.0,2190.0,10082,
2019-08-16,292752.0,2130.0,22436,4374591.0
2019-08-19,261012.0,4015.0,34557,6030408.0
2019-08-20,215402.0,7945.0,21562,23094574.0
2019-08-21,173616.0,4813.0,17625,20465475.0
